variant,terrain,path,bumpiness,seed,status,mean_u_window,max_cte_window,x_max_m,window_rows,sim_port,attempts
conservative,dirt,lane_change,0,401,ok,6.860911564625851,0.145749,82.874631,147,33000,1
conservative,dirt,lane_change,0,402,ok,7.024539864864864,0.289786,83.077463,148,33250,1
conservative,dirt,lane_change,0,403,ok,6.976248000000001,0.149314,82.437755,150,33500,1
conservative,dirt,lane_change,0,404,ok,6.926615894039735,0.210246,82.718881,151,33750,1
conservative,dirt,lane_change,4,400,ok,6.972353191489361,0.173777,81.437522,141,34000,1
conservative,dirt,lane_change,4,401,ok,6.992390540540541,0.191659,82.25467,148,34250,1
conservative,dirt,lane_change,4,402,ok,6.880935761589405,0.231692,81.569339,151,32500,1
conservative,dirt,lane_change,4,403,ok,7.0758939189189185,0.264539,82.009831,148,32750,1
conservative,dirt,lane_change,4,404,ok,7.057070068027211,0.180069,83.174756,147,33000,1
conservative,dirt,lane_change,8,400,ok,6.989915483870967,0.191737,82.414688,155,33250,1
conservative,dirt,lane_change,8,401,ok,6.951692666666668,0.1703,80.735187,150,33500,1
conservative,dirt,lane_change,8,402,ok,6.975241258741258,0.216086,82.910065,143,33750,1
conservative,dirt,lane_change,8,403,ok,6.979933783783784,0.17166,82.151783,148,34000,1
conservative,dirt,lane_change,8,404,ok,6.938124324324324,0.185916,82.127698,148,34250,1
conservative,dirt,right_left,0,400,ok,5.545071947194718,0.16943,75.007294,303,32500,1
conservative,dirt,right_left,0,401,ok,5.613361716171617,0.146699,74.846651,303,32750,1
conservative,dirt,right_left,0,402,ok,5.573688719512195,0.160129,74.831014,328,33000,1
conservative,dirt,right_left,0,403,ok,5.574716293929712,0.161483,74.788583,313,33250,1
conservative,dirt,right_left,0,404,ok,5.5403251533742335,0.150703,74.865431,326,33500,1
conservative,dirt,right_left,4,400,ok,5.446583850931677,0.175197,75.067374,322,33750,1
conservative,dirt,right_left,4,401,ok,5.657877917981073,0.156417,74.802953,317,34000,1
conservative,dirt,right_left,4,402,ok,5.605527384615384,0.160724,74.942453,325,34250,1
conservative,dirt,right_left,4,403,ok,5.399676687116565,0.170141,74.980029,326,32500,1
conservative,dirt,right_left,4,404,ok,5.4096684684684675,0.149394,75.065724,333,32750,1
conservative,dirt,right_left,8,400,ok,5.506081469648563,0.22568,74.606365,313,33000,1
conservative,dirt,right_left,8,401,ok,5.4406680981595095,0.189972,74.620751,326,33250,1
conservative,dirt,right_left,8,402,ok,5.763105614035087,0.176595,74.471409,285,33500,1
conservative,dirt,right_left,8,403,ok,5.521756112852665,0.180595,74.834407,319,33750,1
conservative,dirt,right_left,8,404,ok,5.5519295597484275,0.187329,74.876938,318,34000,1
conservative,dirt,sinusoidal,0,400,ok,4.837765092748735,0.270503,154.671303,593,33000,1
conservative,dirt,sinusoidal,0,401,ok,4.811988538205981,0.285943,154.763737,602,33250,1
conservative,dirt,sinusoidal,0,402,ok,4.81036,0.262549,154.876885,590,33500,1
conservative,dirt,sinusoidal,0,403,ok,4.78075026737968,0.257415,154.664027,561,33750,1
conservative,dirt,sinusoidal,0,404,ok,4.7979129353233825,0.280126,154.810435,603,34000,1
conservative,dirt,sinusoidal,4,400,ok,4.76561661237785,0.265,154.614024,614,34250,1
conservative,dirt,sinusoidal,4,401,ok,4.7043722614840995,0.254489,154.851148,566,32500,1
conservative,dirt,sinusoidal,4,402,ok,4.803905699481866,0.256946,154.932823,579,32750,1
conservative,dirt,sinusoidal,4,403,ok,4.831264656616416,0.251721,154.803481,597,33000,1
conservative,dirt,sinusoidal,4,404,ok,4.748469630872483,0.270297,154.147636,596,33250,1
conservative,dirt,sinusoidal,8,400,ok,4.737468369028006,0.269495,154.424338,607,33500,1
conservative,dirt,sinusoidal,8,401,ok,4.666515841584158,0.296329,154.756775,606,33750,1
conservative,dirt,sinusoidal,8,402,ok,4.71409816360601,0.287355,154.355782,599,34000,1
conservative,dirt,sinusoidal,8,403,ok,4.809295190713101,0.276506,154.244233,603,34250,1
conservative,dirt,sinusoidal,8,404,ok,4.758931006493507,0.25258,154.580472,616,32500,1
conservative,sand,lane_change,0,400,ok,5.992002234636871,0.170164,80.812596,179,34000,1
conservative,sand,lane_change,0,401,ok,5.981131213872832,0.128183,80.796702,173,34250,1
conservative,sand,lane_change,0,402,ok,6.002568674698796,0.190781,80.569965,166,32500,1
conservative,sand,lane_change,0,403,ok,5.994003636363637,0.169763,80.609691,165,32750,1
conservative,sand,lane_change,0,404,ok,5.969225000000001,0.180906,80.381413,180,33000,1
conservative,sand,lane_change,4,400,ok,5.9467224852071,0.150416,80.379652,169,33250,1
conservative,sand,lane_change,4,401,ok,5.952873333333334,0.126749,80.432409,180,33500,1
conservative,sand,lane_change,4,402,ok,5.951500571428571,0.193371,80.696125,175,33750,1
conservative,sand,lane_change,4,403,ok,5.963264000000001,0.140651,80.942126,175,34000,1
conservative,sand,lane_change,4,404,ok,5.978366477272728,0.157488,80.548159,176,34250,1
conservative,sand,lane_change,8,400,ok,5.8233628571428575,0.197365,80.621215,175,32500,1
conservative,sand,lane_change,8,401,ok,5.791342541436465,0.163288,80.011587,181,32750,1
conservative,sand,lane_change,8,402,ok,5.749561452513966,0.200148,80.043445,179,33000,1
conservative,sand,lane_change,8,403,ok,5.820044571428571,0.149867,80.660839,175,33250,1
conservative,sand,lane_change,8,404,ok,5.798125,0.138337,80.124595,180,33500,1
conservative,sand,right_left,0,400,ok,5.354874709302326,0.18418,74.34966,344,33750,1
conservative,sand,right_left,0,401,ok,5.397681230769231,0.167212,74.540543,325,34000,1
conservative,sand,right_left,0,402,ok,5.33176091954023,0.137318,74.501921,348,34250,1
conservative,sand,right_left,0,403,ok,5.287344578313253,0.165019,74.365032,332,32500,1
conservative,sand,right_left,0,404,ok,5.396434218289086,0.163193,74.544441,339,32750,1
conservative,sand,right_left,4,400,ok,5.423980685358256,0.170034,74.83516,321,33000,1
conservative,sand,right_left,4,401,ok,5.382663322884013,0.171577,74.675156,319,33250,1
conservative,sand,right_left,4,402,ok,5.403152542372881,0.160428,74.526639,295,33500,1
conservative,sand,right_left,4,403,ok,5.406418769230769,0.153632,74.48135,325,33750,1
conservative,sand,right_left,4,404,ok,5.449626506024096,0.175138,74.548588,332,34000,1
conservative,sand,right_left,8,400,ok,5.2100288819875775,0.180556,74.285317,322,34250,1
conservative,sand,right_left,8,401,ok,5.242214887640449,0.175852,74.343347,356,32500,1
conservative,sand,right_left,8,402,ok,5.306868656716418,0.180469,74.542029,335,32750,1
conservative,sand,right_left,8,403,ok,5.37011021021021,0.153218,74.677733,333,33000,1
conservative,sand,right_left,8,404,ok,5.187091666666666,0.178805,74.425517,336,33250,1
conservative,sand,sinusoidal,0,400,ok,4.840542068965517,0.326938,154.677757,580,34250,1
conservative,sand,sinusoidal,0,401,ok,4.799668527918781,0.295639,154.406645,591,32500,1
conservative,sand,sinusoidal,0,402,ok,4.7328438625204585,0.271682,152.725519,611,32750,1
conservative,sand,sinusoidal,0,403,ok,4.674516343042071,0.304141,154.539871,618,33000,1
conservative,sand,sinusoidal,0,404,ok,4.7159077943615255,0.336466,152.538485,603,33250,1
conservative,sand,sinusoidal,4,400,ok,4.754628787878787,0.307967,154.512734,594,33500,1
conservative,sand,sinusoidal,4,401,ok,4.7318896666666665,0.311192,153.59276,600,33750,1
conservative,sand,sinusoidal,4,402,ok,4.732206482982171,0.294116,154.38855,617,34000,1
conservative,sand,sinusoidal,4,403,ok,4.735654385964912,0.28744,154.314038,570,34250,1
conservative,sand,sinusoidal,4,404,ok,4.773584955752212,0.326407,154.466588,565,32500,1
conservative,sand,sinusoidal,8,400,ok,4.7611333333333326,0.30891,154.643444,624,32750,1
conservative,sand,sinusoidal,8,401,ok,4.707586245954692,0.295192,154.220483,618,33000,1
conservative,sand,sinusoidal,8,402,ok,4.774140341880342,0.319166,154.52583,585,33250,1
conservative,sand,sinusoidal,8,403,ok,4.724756045751635,0.302354,154.607834,612,33500,1
conservative,sand,sinusoidal,8,404,ok,4.669709902597402,0.302158,153.93936,616,33750,1
grit,clay,lane_change,0,400,ok,7.308249275362319,0.149135,84.951205,138,33750,1
grit,clay,lane_change,0,401,ok,7.221294520547945,0.131783,84.456136,146,34000,1
grit,clay,lane_change,0,402,ok,7.334363235294117,0.201528,85.13034,136,34250,1
grit,clay,lane_change,0,403,ok,7.277756521739131,0.170988,85.191259,138,32500,1
grit,clay,lane_change,0,404,ok,7.330929197080291,0.128399,85.110104,137,32750,1
grit,clay,lane_change,4,400,ok,7.213743884892085,0.157911,84.324858,139,33000,1
grit,clay,lane_change,4,401,ok,7.205602142857143,0.135818,84.111233,140,33250,1
grit,clay,lane_change,4,402,ok,7.203251388888889,0.186789,84.307654,144,33500,1
grit,clay,lane_change,4,403,ok,7.2283230215827325,0.146782,89.254711,139,33750,1
grit,clay,lane_change,4,404,ok,7.201302272727272,0.132274,84.319926,132,34000,1
grit,clay,lane_change,8,400,ok,6.931768421052631,0.207538,84.626996,152,34250,1
grit,clay,lane_change,8,401,ok,6.9271283687943255,0.147979,84.583266,141,32500,1
grit,clay,lane_change,8,402,ok,6.917526315789473,0.205491,86.051921,152,32750,1
grit,clay,lane_change,8,403,ok,6.905304137931035,0.167018,85.05582,145,33000,1
grit,clay,lane_change,8,404,ok,6.903431756756757,0.15105,84.34967,148,33250,1
grit,clay,right_left,0,400,ok,6.0393842465753425,0.233436,75.02685,292,33500,1
grit,clay,right_left,0,401,ok,6.393320152091254,0.177102,77.059596,263,33750,1
grit,clay,right_left,0,402,ok,6.2473269230769235,0.15013,76.239958,260,34000,1
grit,clay,right_left,0,403,ok,6.363512592592592,0.30189,76.79526,270,34250,1
grit,clay,right_left,0,404,ok,6.246992452830189,0.133569,76.327558,265,32500,1
grit,clay,right_left,4,400,ok,6.32427723880597,0.295399,76.705921,268,32750,1
grit,clay,right_left,4,401,ok,6.257914074074075,0.370848,76.142763,270,33000,1
grit,clay,right_left,4,402,ok,6.192886080586081,0.238345,75.588853,273,33250,1
