slip_ratio,slip_angle,velocity,vertical_load,steering_rate,d_slip_ratio,d_slip_angle,d_velocity,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy,My,sinkage,kappa_cmd,alpha_cmd,velocity_cmd
0.273291,0.026634,4.836155,3701.024600,0.318437,-0.492728,-1.428288,-1.250628,3792752.855839,8314.267963,0.720290,9536.164735,0.129760,0.018470,0.090481,3738.356309,368.601263,-275.684890,-334.465218,0.009265,0.303744,0.156321,4.741096
-0.197848,-0.018457,5.765715,5298.137236,0.467395,0.390061,-0.502460,-0.398514,1502177.910589,15088.863290,0.577423,11202.121734,0.115630,0.020788,0.118821,5196.045549,-523.207013,151.068833,-21.420891,0.013573,-0.272608,-0.072323,5.625604
-0.142327,0.084460,8.656447,2710.300111,-0.455964,-0.500505,-0.456569,-0.624548,2227291.206124,14423.261236,0.854235,8330.876003,0.322201,0.018058,0.107587,2546.094632,-406.874267,-555.285993,8.774131,0.016702,-0.162254,0.343367,8.784676
-1.173857,-0.061771,3.686568,3745.818750,-0.025330,-0.761238,0.000637,0.457115,1005863.077546,17846.880046,0.423571,18008.592506,0.431714,0.010399,0.100080,3950.359396,-2317.202464,-64.704113,897.990731,0.009987,-0.305176,-0.191718,3.694428
-0.218725,-0.003759,5.411024,4034.546223,0.437085,-0.351882,0.017850,-0.208710,1263962.541074,9622.053982,0.382198,12312.346533,0.652777,0.016747,0.083796,4211.465503,-1588.230588,120.164711,609.052990,0.005570,-0.194583,-0.018945,5.279754
0.696219,0.022721,9.009999,5220.610550,-0.128247,0.428038,0.710150,-0.389460,3889583.532868,9926.847923,0.725638,2753.808769,0.472711,0.017878,0.097800,5228.395312,2159.865340,-410.521308,-1252.089055,0.009534,0.698866,0.076735,9.048040
0.523157,-0.026210,5.653347,4880.004312,-0.515730,0.270274,-0.016653,0.973078,602966.278452,15946.368999,0.992301,14007.064740,0.250812,0.010816,0.103470,4825.082544,1688.816813,433.990982,-1397.614717,0.045712,0.490808,-0.087823,5.808008
-0.494207,0.011726,9.227476,4252.200483,0.187905,-0.239210,-0.001414,-0.240377,1986514.383833,4171.206246,0.685225,16095.708444,0.306678,0.014415,0.081725,4160.780463,-1557.888991,-494.556962,489.165793,0.016411,-0.489604,0.348234,9.174266
-0.239502,-0.034526,9.308038,3218.169117,-0.141388,0.310876,-0.142069,-0.259936,3765171.621262,17452.580721,0.884755,1660.536010,0.196697,0.020318,0.102722,3215.368458,-357.751039,110.860488,-8.978375,0.012343,-0.239086,-0.100906,9.350013
-0.101879,0.018490,2.681013,6891.945267,0.256773,-0.034502,-0.012566,-0.776657,1136578.044049,4823.312062,0.701763,19494.819996,0.557144,0.017523,0.083097,6902.152300,-2245.884442,-3149.238931,350.940687,0.045613,-0.073277,0.255157,2.605630
-0.600708,0.008571,6.634808,6560.705378,-0.319809,0.348432,-0.005662,1.185123,1283717.963063,6324.010271,1.103091,11146.791800,0.292941,0.024138,0.110354,6580.703450,-2652.401141,-72.728454,347.086316,0.077238,-0.603780,0.028663,6.731364
-0.227058,0.036390,8.735555,4856.004849,0.478169,-0.396079,-1.232541,0.740986,656173.001195,19514.568314,1.003075,5336.564947,0.517471,0.013466,0.103380,4770.207759,-2160.957512,-837.510622,379.692208,0.049487,-0.211851,0.144969,8.594314
0.037229,-0.052704,8.416211,5373.669272,0.036824,0.356673,0.000733,0.184483,2286842.321452,9520.506087,0.848604,17025.854804,0.419554,0.019050,0.083113,5500.584100,-32.285374,1565.711586,-502.879560,0.028866,0.039544,-0.211902,8.405505
-0.034111,-0.014751,7.718165,4731.565617,-0.505869,0.057469,-0.011877,-0.693318,1793928.801232,1385.982412,0.543071,5206.641496,0.439904,0.020941,0.087738,4643.550065,-225.108689,326.536507,-118.221844,0.010742,-0.046959,-0.052025,7.869171
-0.739813,0.055937,5.676494,2592.216650,-0.408347,-0.043583,-0.001030,-1.026070,2037271.581902,12978.915861,0.935936,1116.850695,0.440129,0.014890,0.084899,2572.735745,-1140.853250,-140.616763,359.559236,0.027144,-0.745730,0.327244,5.791616
0.068766,0.030096,4.406372,4433.304447,0.248182,1.430743,1.435269,-1.427748,783987.092921,2009.935465,0.451795,11839.090077,0.199641,0.023051,0.103937,4373.013613,142.405949,-359.015288,-345.444335,0.015575,-0.470511,0.130447,4.331508
0.810011,0.064325,6.330720,4069.146440,-0.254778,-0.293124,0.000374,0.220378,2522552.571610,4753.447630,0.691089,13353.873424,0.342459,0.016946,0.102802,4408.953457,1385.803688,-914.029601,-931.060099,0.014692,0.785153,0.266295,6.404627
0.600169,0.053794,7.911137,4008.529678,0.060451,0.152874,0.000291,-0.218441,3564616.742089,18471.201143,1.236187,10183.065123,0.159672,0.011792,0.115613,4064.234978,650.633544,-623.685987,-704.835257,0.029674,0.600537,0.302913,7.893671
