slip_ratio,slip_angle,velocity,vertical_load,steering_rate,bekker_Kphi,bekker_Kc,bekker_n,mohr_cohesion,mohr_friction,janosi_shear,mesh_spacing,Fz,Fx,Fy
0.441301,-0.232300,4.885578,3069.473193,-0.202068,3269733.296142,9805.084742,0.358157,17585.380028,0.206256,0.017455,0.086326,3216.232160,365.925939,294.721642
0.032691,0.325269,3.265837,5950.983761,0.170604,3113727.789433,9591.529948,0.541480,18358.263986,0.559455,0.015274,0.107481,5804.596085,-331.314714,-2708.622655
0.345227,0.502151,9.453996,6765.071662,0.503640,1766407.501520,16699.121080,0.361594,11082.190784,0.555509,0.014932,0.115635,6728.833211,872.495926,-3457.626219
-0.211448,0.326976,7.617608,4242.527299,0.193680,2674512.819259,9928.110125,0.620376,15493.557722,0.111957,0.019639,0.099005,4071.017308,-412.979564,-385.300263
-0.190021,0.111017,4.629836,6501.347920,0.099009,518894.459154,19625.771527,0.847990,11794.444550,0.563011,0.022723,0.081234,6645.404161,-3336.929351,-1118.528659
-0.187375,-0.513925,5.703417,6276.252108,-0.476495,3037176.544826,1413.611629,0.492359,16826.456612,0.502444,0.022830,0.106382,7377.644872,-1555.841650,2296.838485
-0.919576,-0.531934,4.634715,4656.080724,-0.272984,1672203.476977,10182.259029,0.743667,8812.323229,0.522777,0.022727,0.109712,4576.199975,-2631.467904,128.642368
-0.653512,-0.124258,5.154994,5380.275149,-0.105326,1024349.051313,17050.672166,0.737528,9025.830620,0.498077,0.017826,0.087527,5169.286738,-3021.680447,185.596069
-0.588332,0.046424,9.465616,3908.482269,0.041125,782570.643110,15148.028496,1.145368,16404.954148,0.639425,0.014381,0.117447,3713.943876,-3549.642980,-103.095113
0.686108,-0.467384,3.578369,4001.955790,-0.285113,3414619.797501,9238.294395,1.205196,9900.398263,0.151682,0.011830,0.108633,4387.136202,567.795231,867.535908
-0.359965,-0.023413,8.760973,3386.087045,-0.012333,2002595.866809,2104.178839,0.838906,15931.563958,0.487677,0.020195,0.107587,3438.403939,-1731.746585,69.289502
-0.624170,-0.532470,3.316412,5607.296854,-0.560000,962628.624352,19114.786448,0.462102,3427.698238,0.166279,0.017785,0.099508,5516.127828,-866.354379,278.805880
0.638080,-0.243703,2.924719,5122.885287,-0.165534,2149422.930840,8550.140421,0.742218,10528.003784,0.299265,0.019395,0.103779,5186.089797,1464.864476,976.639069
0.989420,-0.536218,4.550016,4892.275858,-0.560000,3209413.223008,9771.193435,0.640474,1057.471272,0.350625,0.021803,0.113889,5337.308638,1009.779757,1403.311524
-0.117053,0.391231,5.597850,5248.419632,0.443934,3758901.589314,6595.798194,0.957209,16773.916615,0.502269,0.020975,0.090699,5190.863692,-1409.360222,-2009.290713
-0.313088,0.310112,3.002479,4026.964726,0.176662,2842912.975922,2145.250399,0.407245,8600.596059,0.142152,0.019731,0.084054,4028.074721,-335.731333,-186.057136
-0.656200,0.000331,7.135687,6951.880769,0.000240,2917775.130517,11423.591285,0.429456,17462.681982,0.359457,0.017842,0.099161,7566.085423,-2733.540014,-0.466446
0.415479,0.282242,8.611426,5398.341387,0.455341,572132.566181,19242.778083,0.378637,13838.260905,0.294595,0.015826,0.086273,4081.058483,765.878703,-876.073210
0.016953,-0.480493,4.305197,6099.623434,-0.560000,3271573.305954,7989.681569,0.687377,18459.120192,0.616945,0.013879,0.106691,4958.753191,-472.709612,3153.209513
-0.677354,0.064983,6.278905,3784.238561,0.054336,607772.213773,15481.206879,1.233036,4843.145139,0.155775,0.019683,0.115914,3787.588184,-927.748352,-24.397372
0.632825,-0.133916,2.585972,3877.628812,-0.084758,1734995.391185,19395.843865,1.260744,2709.278878,0.537102,0.013405,0.091886,4045.939218,2077.929249,766.354275
-0.043901,0.237799,3.143358,2739.960520,0.324193,1807075.442098,11693.648338,0.572435,16606.312961,0.213434,0.014434,0.084317,2623.189619,-228.746502,-454.271333
0.431323,-0.494687,6.017320,3785.431096,-0.370610,2547403.349879,15907.481123,1.086617,13247.703850,0.508794,0.010257,0.112281,4026.609525,842.339191,2304.255900
